 EE # ; Manufacturer ; Equipment Name ; Model ; Serial ; Status ; PO ; Category ; EIL ; Acquisition Date ; Total Asset Value ; Location ; Last inventory Date 
72223;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13760829;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;2215-111;10/2/16
72224;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13761061;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;10150-111;12/2/16
72225;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13760876;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;7502-111;12/5/16
72226;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13760694;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;B0209-111;10/2/16
72227;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13760879;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;6604-111;12/5/16
72228;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13761020;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;4503-111;12/5/16
72229;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13761018;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;2209-111;12/5/16
72230;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13760999;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;8129-111;12/22/16
72231;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13761003;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;B0209-111;10/31/16
72232;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13760570;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;10150-111;12/2/16
72233;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13761060;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;B0209-111;12/5/16
72234;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13761151;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;6604-111;12/5/16
72235;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13761150;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;4503-111;12/29/16
72236;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;13760795;IN USE;695-A20434;MONITORS: BEDSIDE: RESP: EXHALED CO2;30;11/29/12;3865;10150-111;12/2/16
91598;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;14433069;IN USE;695-B58064;MONITORS: BEDSIDE: RESP: EXHALED CO2;422;10/29/15;3343,05;B0209-111;12/5/16
91599;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;14432574;IN USE;695-B58064;MONITORS: BEDSIDE: RESP: EXHALED CO2;422;10/29/15;3343,05;B0209-111;12/5/16
91600;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;14437054;IN USE;695-B58064;MONITORS: BEDSIDE: RESP: EXHALED CO2;422;10/29/15;3343,05;C008-70;11/15/16
91601;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;14437127;IN USE;695-B58064;MONITORS: BEDSIDE: RESP: EXHALED CO2;422;10/29/15;3343,05;2501-111;12/5/16
91602;CAREFUSION SOLUTIONS LLC;ALARIS ETCO2 MODULES;ALARIS ETCO2 MODULE 8300;14432133;IN USE;695-B58064;MONITORS: BEDSIDE: RESP: EXHALED CO2;422;10/29/15;3343,05;7502-111;12/5/16
57837;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;12925664;IN USE;695-P90421;INFUSION CONTROLLERS;30;7/21/09;2588,5;B0209-111;12/17/16
57838;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;12925776;IN USE;695-P90421;INFUSION CONTROLLERS;30;7/21/09;2588,5;7502-111;12/14/16
57839;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;12925814;IN USE;695-P90421;INFUSION CONTROLLERS;30;7/21/09;2588,5;6604-111;1/3/17
57840;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;12921795;IN USE;695-P90421;INFUSION CONTROLLERS;30;7/21/09;2588,5;7502-111;12/5/16
68728;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13581698;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/3/12;2205,7;4503-111;1/3/17
68729;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13581865;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/3/12;2205,7;9602-111;1/3/17
68730;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13581913;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/3/12;2205,7;7502-111;12/29/16
68731;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13581654;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/3/12;2205,7;7502-111;12/16/16
68732;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13581827;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/3/12;2205,7;B0209-111;4/25/16
69196;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12666375;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;1138-111;12/14/16
69197;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12671826;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;7502-111;1/5/17
69198;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12670290;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;10147-111;12/2/16
69199;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12687794;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;1138-111;12/5/16
69200;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12689659;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;10143-111;12/2/16
69201;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12670966;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;4503-111;1/5/17
69202;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12670715;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;7502-111;1/3/17
69203;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12671894;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;B0209-111;12/19/16
69204;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12688329;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;B0209-111;12/5/16
69205;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12670557;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;6604-111;1/5/17
69207;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12676094;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;2501-111;12/29/16
69208;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12671550;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;7502-111;4/25/16
69209;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12689274;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;B0209-111;1/3/17
69210;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12685424;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;4420-111;1/3/17
69211;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12676395;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;4503-111;12/6/16
69212;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12671632;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;7502-111;12/29/16
69213;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12683642;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;2501-111;1/5/17
69214;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12688381;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;2501-111;1/3/17
69215;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12671584;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;4503-111;12/29/16
69216;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12671597;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;B0209-111;12/29/16
69217;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12672309;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;B0209-111;12/5/16
69218;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12689321;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;1138-111;12/29/16
69219;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12687432;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;7502-111;12/14/16
69220;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12671892;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;6222-111;10/2/16
69221;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12688791;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;6604-111;1/3/17
69222;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12676343;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;B0209-111;12/7/16
69223;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12689421;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;4503-111;1/3/17
69224;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12686606;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;2107-111;10/1/16
69225;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12666336;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;2501-111;1/5/17
69226;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12677201;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;6210-111;3/10/16
69227;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12686111;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;4503-111;1/5/17
69228;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12671450;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;5600A-111;12/16/16
69229;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12646642;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;6604-111;12/5/16
69230;CAREFUSION SOLUTIONS LLC;INFUSION CONTROLLER MONITOR;ALARIS PC UNIT 8015;12670739;IN USE;695-C70830;INFUSION CONTROLLERS;422;12/13/07;3538,5;8111-111;12/29/16
69240;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631654;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;12/29/16
69241;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631667;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4420-111;1/5/17
69242;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631669;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;5450-111;12/5/16
69243;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631684;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/5/17
69244;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631693;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;*C0764-111;10/1/16
69245;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631694;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/5/17
69246;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631695;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;2501-111;1/3/17
69247;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631703;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;6604-111;1/5/17
69248;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631706;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;7502-111;1/5/17
69249;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631707;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4420-111;1/5/17
69250;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631713;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;6604-111;1/29/17
69251;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631714;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4503-111;1/5/17
69252;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631734;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/5/17
69253;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631735;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;7502-111;1/5/17
69254;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631739;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/5/17
69255;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631740;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;7502-111;1/3/17
69257;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631754;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;7502-111;12/5/16
69258;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631755;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;12/14/16
69259;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631756;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;1138-111;1/3/17
69260;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631771;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;10147-111;12/2/16
69261;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631789;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;7502-111;1/3/17
69262;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631794;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4420-111;1/5/17
69263;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631801;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;12/29/16
69264;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631802;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;2501-111;1/3/17
69265;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631813;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;1138-111;1/3/17
69266;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631814;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4204-111;10/2/16
69267;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631815;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;1138-111;12/6/16
69268;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631827;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;5600A-111;1/5/17
69269;CAREFUSION SOLUTIONS LLC;PUMP-EPIDURAL;ALARIS PC UNIT 8015;13631828;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;12/5/16
69270;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631844;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;5600A-111;1/3/17
69271;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631845;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;1138-111;12/5/16
69272;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631865;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/3/17
69273;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631866;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4503-111;12/29/16
69275;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631872;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;12/5/16
69277;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631884;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;6604-111;1/5/17
69278;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631885;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/5/17
69279;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631896;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;B0209-111;1/3/17
69280;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631915;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4420-111;1/5/17
69281;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631918;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4503-111;1/3/17
69282;CAREFUSION SOLUTIONS LLC;PUMP PCU;ALARIS PC UNIT 8015;13631919;IN USE;695-G20001;INFUSION CONTROLLERS;422;4/23/12;2205,7;4503-111;1/5/17
